seed-> 2021
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./train_resized_clean/', input_name='lr_2_cubic.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=2021, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='111_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/lr_2_cubic/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, train_on_last_scale=1, training_name='', tx='12:56:52')
alpha:20
scale 12:[0/1000], errG: 0.406474 ,output.mean(): -0.406474, rec_loss:2.149181
scale 12:[25/1000], errG: 0.308115 ,output.mean(): -0.308115, rec_loss:0.008550
scale 12:[50/1000], errG: 0.363367 ,output.mean(): -0.363367, rec_loss:0.012824
scale 12:[75/1000], errG: 0.119330 ,output.mean(): -0.119330, rec_loss:0.006106
scale 12:[100/1000], errG: -0.062317 ,output.mean(): 0.062317, rec_loss:0.020348
scale 12:[125/1000], errG: 0.094770 ,output.mean(): -0.094770, rec_loss:0.015038
scale 12:[150/1000], errG: 0.040165 ,output.mean(): -0.040165, rec_loss:0.018397
scale 12:[175/1000], errG: -0.004697 ,output.mean(): 0.004697, rec_loss:0.007038
scale 12:[200/1000], errG: 0.314992 ,output.mean(): -0.314992, rec_loss:0.008615
scale 12:[225/1000], errG: 1.310230 ,output.mean(): -1.310230, rec_loss:0.015198
scale 12:[250/1000], errG: 0.356964 ,output.mean(): -0.356964, rec_loss:0.005579
scale 12:[275/1000], errG: 0.164280 ,output.mean(): -0.164280, rec_loss:0.009894
scale 12:[300/1000], errG: -0.018892 ,output.mean(): 0.018892, rec_loss:0.012106
scale 12:[325/1000], errG: 0.129662 ,output.mean(): -0.129662, rec_loss:0.006050
scale 12:[350/1000], errG: 0.885867 ,output.mean(): -0.885867, rec_loss:0.009319
scale 12:[375/1000], errG: 0.564544 ,output.mean(): -0.564544, rec_loss:0.005459
scale 12:[400/1000], errG: 0.369675 ,output.mean(): -0.369675, rec_loss:0.010057
scale 12:[425/1000], errG: 0.242509 ,output.mean(): -0.242509, rec_loss:0.005764
scale 12:[450/1000], errG: -0.428156 ,output.mean(): 0.428156, rec_loss:0.004821
scale 12:[475/1000], errG: -0.538018 ,output.mean(): 0.538018, rec_loss:0.007745
scale 12:[500/1000], errG: -0.380246 ,output.mean(): 0.380246, rec_loss:0.006183
scale 12:[525/1000], errG: 0.036924 ,output.mean(): -0.036924, rec_loss:0.005684
scale 12:[550/1000], errG: -0.396202 ,output.mean(): 0.396202, rec_loss:0.004946
scale 12:[575/1000], errG: -0.477308 ,output.mean(): 0.477308, rec_loss:0.004066
scale 12:[600/1000], errG: -0.210216 ,output.mean(): 0.210216, rec_loss:0.004505
scale 12:[625/1000], errG: -0.025132 ,output.mean(): 0.025132, rec_loss:0.003611
scale 12:[650/1000], errG: 0.153623 ,output.mean(): -0.153623, rec_loss:0.005077
scale 12:[675/1000], errG: -0.045024 ,output.mean(): 0.045024, rec_loss:0.007043
scale 12:[700/1000], errG: -0.073160 ,output.mean(): 0.073160, rec_loss:0.004739
scale 12:[725/1000], errG: 0.038963 ,output.mean(): -0.038963, rec_loss:0.005445
scale 12:[750/1000], errG: 0.320587 ,output.mean(): -0.320587, rec_loss:0.004358
scale 12:[775/1000], errG: 0.121328 ,output.mean(): -0.121328, rec_loss:0.001980
scale 12:[800/1000], errG: 0.652692 ,output.mean(): -0.652692, rec_loss:0.007101
scale 12:[825/1000], errG: 0.620541 ,output.mean(): -0.620541, rec_loss:0.009492
scale 12:[850/1000], errG: 0.325838 ,output.mean(): -0.325838, rec_loss:0.005076
scale 12:[875/1000], errG: 0.311215 ,output.mean(): -0.311215, rec_loss:0.003864
scale 12:[900/1000], errG: 0.485627 ,output.mean(): -0.485627, rec_loss:0.004984
scale 12:[925/1000], errG: 0.444711 ,output.mean(): -0.444711, rec_loss:0.007917
scale 12:[950/1000], errG: 0.535701 ,output.mean(): -0.535701, rec_loss:0.006325
scale 12:[975/1000], errG: 0.436846 ,output.mean(): -0.436846, rec_loss:0.002498
scale 12:[999/1000], errG: 0.597838 ,output.mean(): -0.597838, rec_loss:0.005912
Scale: 12, realD_loss: -2.773510 
Super Res by 2.000000
